sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
A1BG	28.4778169133261	27.8519836683059	28.1876086296031	27.6239829401845	28.3877566355674	28.0170593140953	28.733424994491	28.2833076806958	28.4540666919695	28.7365274221224	27.9673533602685	28.0710835395103	28.5563253971984	28.3290345034885	29.0061763197026	28.1401401572176	27.7802124726334	28.4530444650614	27.4736750110552	27.9673895268547
A2M	28.7730985162381	29.0190485726358	29.5344003525363	28.7503427210771	29.9370296300853	28.8736605330021	29.350984901538	29.6632674636528	30.0205381161525	30.1605869025107	27.7629692122389	29.0001151879595	29.0070233851964	29.4004448367539	29.828216297532	28.9299726120362	28.9357109958743	28.3326289656844	28.7423172375572	30.0289496038017
A2ML1	21.4738928550747	21.0826184205348	21.9989231752832	22.5280512093431	21.6271716643078	22.073864274532	21.5125568656944	21.3480565985615	23.3852149791632	22.3319304401818	21.1524709073462	23.0962972150331	21.1656862474638	21.2985083094651	21.3498838401523	23.0610055114937	20.76074188026	24.1389900247658	21.6529758640479	25.9970079800277
AAAS	24.0852549126017	24.0036976794943	24.1346483216353	24.3285468184429	24.1779325949748	24.3565935759777	23.916043909661	24.0083509292978	24.2779710257482	24.017175787849	24.3663147906635	24.0965953685148	24.4773301849672	24.0106471892778	24.2376475569125	24.2567741396663	24.1012242435808	24.69733555434	23.3889387766868	24.6403713923367
AACS	26.4529840498745	25.904298912679	25.8937280097434	25.3951044907411	25.7912277495526	25.1247481513048	25.214009290207	25.9888576664641	25.9076787618543	26.1169232211381	26.2013244140213	26.549673899981	26.1032986804411	25.4488332133334	25.5858177512133	25.8048984442741	26.2968264231387	25.3547916225709	25.9376013416118	25.2585071832417
AADAT	19.897417550456	19.4359469355776	19.7927621726619	19.7306166698587	19.8986002920039	19.8502293297151	19.6353759460757	19.6760064210824	20.3181669589965	20.1024452783851	20.1395611393075	20.5779054108764	19.8698666257397	19.8834472364931	20.7993509569967	19.7301824094303	19.3055051001888	20.5454083221735	20.2621999754411	20.3331601081188
AAGAB	24.6893393981608	24.522110814688	24.454682951237	23.9182172253406	24.5170678841123	24.7410802060568	24.4202210034086	24.7745117897359	24.4320229704168	23.584405108524	23.9198380639384	24.2021291981601	24.019950639256	24.7906384962078	23.708685549452	24.3648747469677	24.589335706763	23.6888592228615	24.6239308051612	24.1283976910028
AAK1	24.6639018428014	24.276699356469	24.4337045539527	24.9185944316622	24.2904661853986	24.061115002094	24.4664159376476	24.4306969534859	24.5542406387745	24.1401840838042	24.41331148809	24.7509465748731	24.2019993537398	24.5415973476141	24.3835042068842	24.593836434381	24.8819883435402	24.0050156720304	24.6705155005907	24.3289504393479
AAMDC	26.0013357343527	26.3774263473526	25.4269078240984	25.6039525798443	26.1476283102049	26.4871759469287	26.1978944487069	26.1739613719485	25.6879072548053	25.8542204996098	26.0274194549777	26.1958179942492	26.1092649888387	25.5606013892094	25.7807808011537	26.5624268718439	26.8097350972209	25.9575054616352	26.6428914613038	25.5007162902555
AAMP	24.8148991567457	25.1713736201882	24.5230452991767	24.9535226365494	24.5719415499358	25.2461363364903	24.7775802518827	24.8422369243634	24.954497246388	24.32682758778	24.3064065340589	24.8437814238444	24.8039855606415	25.3839484827134	24.5701275171289	24.671839106743	24.9045524065813	24.6721730819328	24.9572046571302	24.5161180846116
AAR2	23.743142186307	23.6745135237697	23.4833250290809	23.6146152221546	23.6619863857242	23.5338650198622	23.421922334656	23.6724561180165	23.5293279054634	23.3313592474622	23.6413403442333	23.9203552911295	23.5881877941584	24.2693050180749	23.5774181219138	23.9703841037078	23.3892412595905	24.1215626010086	23.6975768881693	23.7721328302149
AARS1	28.1756349062516	28.4171793953841	28.3947603243963	28.4882915735049	28.2052274254004	28.7183035550357	28.1052576944269	28.6783273927964	28.4109918971607	27.9152106800165	28.5951813437749	28.9329912610226	28.4070774308663	28.4510221657618	28.3790836158936	28.5360131222034	28.4309804975677	28.1123559809428	29.0487803148312	29.3349133082452
AARS2	24.3700575213825	24.5704457156982	24.298751234824	24.7737454787126	24.0631348978558	24.310780526903	24.3610519640865	24.0631173560287	24.303868804399	24.0533150106635	24.5628694417808	24.6391355278852	24.9170656417082	24.8022992008494	24.5007613215742	24.4980034860603	24.642280161014	24.8102191231165	24.5742616778817	24.6547585781572
AARSD1	22.5139256765258	22.4832028581889	22.4842210154402	22.0576841263569	22.3019639719934	23.6014054917691	22.2685596696406	22.1207361971214	21.5178071321841	20.9783888819874	21.1056155983002	20.5935697954282	21.5509453450624	22.5145576313886	21.5276576184975	21.6454672910891	21.7652646729335	20.7428418016352	21.9134343749917	21.598191723334
AASDHPPT	24.7787386428432	24.9793309024038	24.3573956492148	25.2434007346288	25.0330183365675	25.3942176940613	24.7749960045702	24.7057919573743	25.1529738538987	24.4553364803445	24.6432451013381	25.1193577836752	25.1295105154304	24.9521297345034	24.7505892662985	25.1052333563864	24.5484441760134	25.2388743506094	24.7986482577944	25.3957376751123
AASS	23.5242560038856	23.0553916790637	23.2020462463895	22.56869295523	23.1386448378808	23.9169267555498	23.3357602925597	22.8051644707689	23.2436005637382	24.6346019126259	23.6432783375258	22.9468920892789	23.1472658806564	22.4999016805309	22.9509394063569	23.2835208924794	23.1077495392273	24.0931611883534	22.5110027008849	22.3094403524399
AATF	24.1993536363296	24.6835046971332	24.1447483351154	25.3106642823179	24.466157913951	24.4966629077494	24.1005905980093	24.1334010762451	24.7662868635997	23.8652647776534	24.2267338840794	24.621184232572	24.1303265784734	24.3012664161237	24.880336562242	23.9113045621295	23.998102096131	25.0571781525819	23.9879449277656	25.7424829272219
ABAT	28.0627730866967	25.865152105112	26.5455410858986	24.4114785779276	26.5368603090252	26.011861223045	26.6742392543841	26.6764354631141	24.9267700117443	24.5858654931551	25.0308358024071	24.3934142655559	25.4537091697291	25.1911395574061	24.4454201801165	26.2317867280062	26.5871934288901	24.4218025103766	25.9542241497481	23.9142184794015
